197,143,166,227,196,150,216,136,206,196,285,156,120,170,184,212,96
22,0,17,21,41,7,24,37,19,33,80,3,11,68,69,41,2
14,41,7,50,0,19,62,1,9,40,65,8,5,60,16,19,49
14,0,4,13,0,50,3,14,78,32,23,15,16,8,8,0,1
5,38,34,16,45,12,0,13,44,45,2,42,3,4,7,8,37
8,14,25,37,15,19,46,25,31,11,27,30,0,dnb,32,8,dnb
1,20,11,0,25,0,29,2,2,11,18,12,4,dnb,0,0,dnb
57,3,31,0,9,20,3,6,5,dnb,38,0,31,dnb,11,19,dnb
14,4,1,31,5,6,13,1,dnb,dnb,1,0,6,dnb,dnb,2,dnb
9,dnb,6,dnb,6,0,dnb,1,dnb,dnb,4,12,2,dnb,dnb,42,dnb
dnb,dnb,dnb,dnb,17,0,dnb,14,dnb,dnb,dnb,7,0,dnb,dnb,15,dnb
dnb,dnb,dnb,dnb,4,dnb,dnb,dnb,dnb,dnb,dnb,0,1,dnb,dnb,dnb,dnb
